Date_Key,Full_Date,Year,Quarter,Month,Month_Name,Week_Number,Day,Is_Weekend
20210101,01-01-2021,2021,1,1,January,53,1,0
20210102,02-01-2021,2021,1,1,January,53,2,1
20210103,03-01-2021,2021,1,1,January,53,3,1
20210104,04-01-2021,2021,1,1,January,1,4,0
20210105,05-01-2021,2021,1,1,January,1,5,0
20210106,06-01-2021,2021,1,1,January,1,6,0
20210107,07-01-2021,2021,1,1,January,1,7,0
20210108,08-01-2021,2021,1,1,January,1,8,0
20210109,09-01-2021,2021,1,1,January,1,9,1
20210110,10-01-2021,2021,1,1,January,1,10,1
20210111,11-01-2021,2021,1,1,January,2,11,0
20210112,12-01-2021,2021,1,1,January,2,12,0
20210113,13-01-2021,2021,1,1,January,2,13,0
20210114,14-01-2021,2021,1,1,January,2,14,0
20210115,15-01-2021,2021,1,1,January,2,15,0
20210116,16-01-2021,2021,1,1,January,2,16,1
20210117,17-01-2021,2021,1,1,January,2,17,1
20210118,18-01-2021,2021,1,1,January,3,18,0
20210119,19-01-2021,2021,1,1,January,3,19,0
20210120,20-01-2021,2021,1,1,January,3,20,0
20210121,21-01-2021,2021,1,1,January,3,21,0
20210122,22-01-2021,2021,1,1,January,3,22,0
20210123,23-01-2021,2021,1,1,January,3,23,1
20210124,24-01-2021,2021,1,1,January,3,24,1
20210125,25-01-2021,2021,1,1,January,4,25,0
20210126,26-01-2021,2021,1,1,January,4,26,0
20210127,27-01-2021,2021,1,1,January,4,27,0
20210128,28-01-2021,2021,1,1,January,4,28,0
20210129,29-01-2021,2021,1,1,January,4,29,0
20210130,30-01-2021,2021,1,1,January,4,30,1
20210131,31-01-2021,2021,1,1,January,4,31,1
20210201,01-02-2021,2021,1,2,February,5,1,0
20210202,02-02-2021,2021,1,2,February,5,2,0
20210203,03-02-2021,2021,1,2,February,5,3,0
20210204,04-02-2021,2021,1,2,February,5,4,0
20210205,05-02-2021,2021,1,2,February,5,5,0
20210206,06-02-2021,2021,1,2,February,5,6,1
20210207,07-02-2021,2021,1,2,February,5,7,1
20210208,08-02-2021,2021,1,2,February,6,8,0
20210209,09-02-2021,2021,1,2,February,6,9,0
20210210,10-02-2021,2021,1,2,February,6,10,0
20210211,11-02-2021,2021,1,2,February,6,11,0
20210212,12-02-2021,2021,1,2,February,6,12,0
20210213,13-02-2021,2021,1,2,February,6,13,1
20210214,14-02-2021,2021,1,2,February,6,14,1
20210215,15-02-2021,2021,1,2,February,7,15,0
20210216,16-02-2021,2021,1,2,February,7,16,0
20210217,17-02-2021,2021,1,2,February,7,17,0
20210218,18-02-2021,2021,1,2,February,7,18,0
20210219,19-02-2021,2021,1,2,February,7,19,0
20210220,20-02-2021,2021,1,2,February,7,20,1
20210221,21-02-2021,2021,1,2,February,7,21,1
20210222,22-02-2021,2021,1,2,February,8,22,0
20210223,23-02-2021,2021,1,2,February,8,23,0
20210224,24-02-2021,2021,1,2,February,8,24,0
20210225,25-02-2021,2021,1,2,February,8,25,0
20210226,26-02-2021,2021,1,2,February,8,26,0
20210227,27-02-2021,2021,1,2,February,8,27,1
20210228,28-02-2021,2021,1,2,February,8,28,1
20210301,01-03-2021,2021,1,3,March,9,1,0
20210302,02-03-2021,2021,1,3,March,9,2,0
20210303,03-03-2021,2021,1,3,March,9,3,0
20210304,04-03-2021,2021,1,3,March,9,4,0
20210305,05-03-2021,2021,1,3,March,9,5,0
20210306,06-03-2021,2021,1,3,March,9,6,1
20210307,07-03-2021,2021,1,3,March,9,7,1
20210308,08-03-2021,2021,1,3,March,10,8,0
20210309,09-03-2021,2021,1,3,March,10,9,0
20210310,10-03-2021,2021,1,3,March,10,10,0
20210311,11-03-2021,2021,1,3,March,10,11,0
20210312,12-03-2021,2021,1,3,March,10,12,0
20210313,13-03-2021,2021,1,3,March,10,13,1
20210314,14-03-2021,2021,1,3,March,10,14,1
20210315,15-03-2021,2021,1,3,March,11,15,0
20210316,16-03-2021,2021,1,3,March,11,16,0
20210317,17-03-2021,2021,1,3,March,11,17,0
20210318,18-03-2021,2021,1,3,March,11,18,0
20210319,19-03-2021,2021,1,3,March,11,19,0
20210320,20-03-2021,2021,1,3,March,11,20,1
20210321,21-03-2021,2021,1,3,March,11,21,1
20210322,22-03-2021,2021,1,3,March,12,22,0
20210323,23-03-2021,2021,1,3,March,12,23,0
20210324,24-03-2021,2021,1,3,March,12,24,0
20210325,25-03-2021,2021,1,3,March,12,25,0
20210326,26-03-2021,2021,1,3,March,12,26,0
20210327,27-03-2021,2021,1,3,March,12,27,1
20210328,28-03-2021,2021,1,3,March,12,28,1
20210329,29-03-2021,2021,1,3,March,13,29,0
20210330,30-03-2021,2021,1,3,March,13,30,0
20210331,31-03-2021,2021,1,3,March,13,31,0
20210401,01-04-2021,2021,2,4,April,13,1,0
20210402,02-04-2021,2021,2,4,April,13,2,0
20210403,03-04-2021,2021,2,4,April,13,3,1
20210404,04-04-2021,2021,2,4,April,13,4,1
20210405,05-04-2021,2021,2,4,April,14,5,0
20210406,06-04-2021,2021,2,4,April,14,6,0
20210407,07-04-2021,2021,2,4,April,14,7,0
20210408,08-04-2021,2021,2,4,April,14,8,0
20210409,09-04-2021,2021,2,4,April,14,9,0
20210410,10-04-2021,2021,2,4,April,14,10,1
20210411,11-04-2021,2021,2,4,April,14,11,1
20210412,12-04-2021,2021,2,4,April,15,12,0
20210413,13-04-2021,2021,2,4,April,15,13,0
20210414,14-04-2021,2021,2,4,April,15,14,0
20210415,15-04-2021,2021,2,4,April,15,15,0
20210416,16-04-2021,2021,2,4,April,15,16,0
20210417,17-04-2021,2021,2,4,April,15,17,1
20210418,18-04-2021,2021,2,4,April,15,18,1
20210419,19-04-2021,2021,2,4,April,16,19,0
20210420,20-04-2021,2021,2,4,April,16,20,0
20210421,21-04-2021,2021,2,4,April,16,21,0
20210422,22-04-2021,2021,2,4,April,16,22,0
20210423,23-04-2021,2021,2,4,April,16,23,0
20210424,24-04-2021,2021,2,4,April,16,24,1
20210425,25-04-2021,2021,2,4,April,16,25,1
20210426,26-04-2021,2021,2,4,April,17,26,0
20210427,27-04-2021,2021,2,4,April,17,27,0
20210428,28-04-2021,2021,2,4,April,17,28,0
20210429,29-04-2021,2021,2,4,April,17,29,0
20210430,30-04-2021,2021,2,4,April,17,30,0
20210501,01-05-2021,2021,2,5,May,17,1,1
20210502,02-05-2021,2021,2,5,May,17,2,1
20210503,03-05-2021,2021,2,5,May,18,3,0
20210504,04-05-2021,2021,2,5,May,18,4,0
20210505,05-05-2021,2021,2,5,May,18,5,0
20210506,06-05-2021,2021,2,5,May,18,6,0
20210507,07-05-2021,2021,2,5,May,18,7,0
20210508,08-05-2021,2021,2,5,May,18,8,1
20210509,09-05-2021,2021,2,5,May,18,9,1
20210510,10-05-2021,2021,2,5,May,19,10,0
20210511,11-05-2021,2021,2,5,May,19,11,0
20210512,12-05-2021,2021,2,5,May,19,12,0
20210513,13-05-2021,2021,2,5,May,19,13,0
20210514,14-05-2021,2021,2,5,May,19,14,0
20210515,15-05-2021,2021,2,5,May,19,15,1
20210516,16-05-2021,2021,2,5,May,19,16,1
20210517,17-05-2021,2021,2,5,May,20,17,0
20210518,18-05-2021,2021,2,5,May,20,18,0
20210519,19-05-2021,2021,2,5,May,20,19,0
20210520,20-05-2021,2021,2,5,May,20,20,0
20210521,21-05-2021,2021,2,5,May,20,21,0
20210522,22-05-2021,2021,2,5,May,20,22,1
20210523,23-05-2021,2021,2,5,May,20,23,1
20210524,24-05-2021,2021,2,5,May,21,24,0
20210525,25-05-2021,2021,2,5,May,21,25,0
20210526,26-05-2021,2021,2,5,May,21,26,0
20210527,27-05-2021,2021,2,5,May,21,27,0
20210528,28-05-2021,2021,2,5,May,21,28,0
20210529,29-05-2021,2021,2,5,May,21,29,1
20210530,30-05-2021,2021,2,5,May,21,30,1
20210531,31-05-2021,2021,2,5,May,22,31,0
20210601,01-06-2021,2021,2,6,June,22,1,0
20210602,02-06-2021,2021,2,6,June,22,2,0
20210603,03-06-2021,2021,2,6,June,22,3,0
20210604,04-06-2021,2021,2,6,June,22,4,0
20210605,05-06-2021,2021,2,6,June,22,5,1
20210606,06-06-2021,2021,2,6,June,22,6,1
20210607,07-06-2021,2021,2,6,June,23,7,0
20210608,08-06-2021,2021,2,6,June,23,8,0
20210609,09-06-2021,2021,2,6,June,23,9,0
20210610,10-06-2021,2021,2,6,June,23,10,0
20210611,11-06-2021,2021,2,6,June,23,11,0
20210612,12-06-2021,2021,2,6,June,23,12,1
20210613,13-06-2021,2021,2,6,June,23,13,1
20210614,14-06-2021,2021,2,6,June,24,14,0
20210615,15-06-2021,2021,2,6,June,24,15,0
20210616,16-06-2021,2021,2,6,June,24,16,0
20210617,17-06-2021,2021,2,6,June,24,17,0
20210618,18-06-2021,2021,2,6,June,24,18,0
20210619,19-06-2021,2021,2,6,June,24,19,1
20210620,20-06-2021,2021,2,6,June,24,20,1
20210621,21-06-2021,2021,2,6,June,25,21,0
20210622,22-06-2021,2021,2,6,June,25,22,0
20210623,23-06-2021,2021,2,6,June,25,23,0
20210624,24-06-2021,2021,2,6,June,25,24,0
20210625,25-06-2021,2021,2,6,June,25,25,0
20210626,26-06-2021,2021,2,6,June,25,26,1
20210627,27-06-2021,2021,2,6,June,25,27,1
20210628,28-06-2021,2021,2,6,June,26,28,0
20210629,29-06-2021,2021,2,6,June,26,29,0
20210630,30-06-2021,2021,2,6,June,26,30,0
20210701,01-07-2021,2021,3,7,July,26,1,0
20210702,02-07-2021,2021,3,7,July,26,2,0
20210703,03-07-2021,2021,3,7,July,26,3,1
20210704,04-07-2021,2021,3,7,July,26,4,1
20210705,05-07-2021,2021,3,7,July,27,5,0
20210706,06-07-2021,2021,3,7,July,27,6,0
20210707,07-07-2021,2021,3,7,July,27,7,0
20210708,08-07-2021,2021,3,7,July,27,8,0
20210709,09-07-2021,2021,3,7,July,27,9,0
20210710,10-07-2021,2021,3,7,July,27,10,1
20210711,11-07-2021,2021,3,7,July,27,11,1
20210712,12-07-2021,2021,3,7,July,28,12,0
20210713,13-07-2021,2021,3,7,July,28,13,0
20210714,14-07-2021,2021,3,7,July,28,14,0
20210715,15-07-2021,2021,3,7,July,28,15,0
20210716,16-07-2021,2021,3,7,July,28,16,0
20210717,17-07-2021,2021,3,7,July,28,17,1
20210718,18-07-2021,2021,3,7,July,28,18,1
20210719,19-07-2021,2021,3,7,July,29,19,0
20210720,20-07-2021,2021,3,7,July,29,20,0
20210721,21-07-2021,2021,3,7,July,29,21,0
20210722,22-07-2021,2021,3,7,July,29,22,0
20210723,23-07-2021,2021,3,7,July,29,23,0
20210724,24-07-2021,2021,3,7,July,29,24,1
20210725,25-07-2021,2021,3,7,July,29,25,1
20210726,26-07-2021,2021,3,7,July,30,26,0
20210727,27-07-2021,2021,3,7,July,30,27,0
20210728,28-07-2021,2021,3,7,July,30,28,0
20210729,29-07-2021,2021,3,7,July,30,29,0
20210730,30-07-2021,2021,3,7,July,30,30,0
20210731,31-07-2021,2021,3,7,July,30,31,1
20210801,01-08-2021,2021,3,8,August,30,1,1
20210802,02-08-2021,2021,3,8,August,31,2,0
20210803,03-08-2021,2021,3,8,August,31,3,0
20210804,04-08-2021,2021,3,8,August,31,4,0
20210805,05-08-2021,2021,3,8,August,31,5,0
20210806,06-08-2021,2021,3,8,August,31,6,0
20210807,07-08-2021,2021,3,8,August,31,7,1
20210808,08-08-2021,2021,3,8,August,31,8,1
20210809,09-08-2021,2021,3,8,August,32,9,0
20210810,10-08-2021,2021,3,8,August,32,10,0
20210811,11-08-2021,2021,3,8,August,32,11,0
20210812,12-08-2021,2021,3,8,August,32,12,0
20210813,13-08-2021,2021,3,8,August,32,13,0
20210814,14-08-2021,2021,3,8,August,32,14,1
20210815,15-08-2021,2021,3,8,August,32,15,1
20210816,16-08-2021,2021,3,8,August,33,16,0
20210817,17-08-2021,2021,3,8,August,33,17,0
20210818,18-08-2021,2021,3,8,August,33,18,0
20210819,19-08-2021,2021,3,8,August,33,19,0
20210820,20-08-2021,2021,3,8,August,33,20,0
20210821,21-08-2021,2021,3,8,August,33,21,1
20210822,22-08-2021,2021,3,8,August,33,22,1
20210823,23-08-2021,2021,3,8,August,34,23,0
20210824,24-08-2021,2021,3,8,August,34,24,0
20210825,25-08-2021,2021,3,8,August,34,25,0
20210826,26-08-2021,2021,3,8,August,34,26,0
20210827,27-08-2021,2021,3,8,August,34,27,0
20210828,28-08-2021,2021,3,8,August,34,28,1
20210829,29-08-2021,2021,3,8,August,34,29,1
20210830,30-08-2021,2021,3,8,August,35,30,0
20210831,31-08-2021,2021,3,8,August,35,31,0
20210901,01-09-2021,2021,3,9,September,35,1,0
20210902,02-09-2021,2021,3,9,September,35,2,0
20210903,03-09-2021,2021,3,9,September,35,3,0
20210904,04-09-2021,2021,3,9,September,35,4,1
20210905,05-09-2021,2021,3,9,September,35,5,1
20210906,06-09-2021,2021,3,9,September,36,6,0
20210907,07-09-2021,2021,3,9,September,36,7,0
20210908,08-09-2021,2021,3,9,September,36,8,0
20210909,09-09-2021,2021,3,9,September,36,9,0
20210910,10-09-2021,2021,3,9,September,36,10,0
20210911,11-09-2021,2021,3,9,September,36,11,1
20210912,12-09-2021,2021,3,9,September,36,12,1
20210913,13-09-2021,2021,3,9,September,37,13,0
20210914,14-09-2021,2021,3,9,September,37,14,0
20210915,15-09-2021,2021,3,9,September,37,15,0
20210916,16-09-2021,2021,3,9,September,37,16,0
20210917,17-09-2021,2021,3,9,September,37,17,0
20210918,18-09-2021,2021,3,9,September,37,18,1
20210919,19-09-2021,2021,3,9,September,37,19,1
20210920,20-09-2021,2021,3,9,September,38,20,0
20210921,21-09-2021,2021,3,9,September,38,21,0
20210922,22-09-2021,2021,3,9,September,38,22,0
20210923,23-09-2021,2021,3,9,September,38,23,0
20210924,24-09-2021,2021,3,9,September,38,24,0
20210925,25-09-2021,2021,3,9,September,38,25,1
20210926,26-09-2021,2021,3,9,September,38,26,1
